SourceID,TargetID,Relationship Strenght
3310,2027,30%
3310,3748,30%
3310,22335,30%
2045,2042,30%
2045,2146,30%
2045,5022,30%
2045,5671,30%
2045,7567,30%
2045,18973,30%
2045,21748,30%
2045,21772,30%
2045,9233,30%
10202,2043,30%
10202,18655,30%
10202,22015,30%
10202,21719,30%
10202,9037,30%
5304,2067,30%
5304,6670,30%
5304,7209,30%
5304,7570,30%
5304,8208,30%
5583,2067,30%
5583,7570,30%
9762,2084,30%
15527,2105,30%
15527,21027,30%
15527,15715,30%
5984,2114,30%
5984,4216,30%
5984,7013,30%
15482,2119,30%
3137,2123,30%
3137,15158,30%
3137,3485,30%
3137,3485,30%
3137,3545,30%
3137,3572,30%
3137,3605,30%
3137,3651,30%
3137,3746,30%
3137,3808,30%
3137,6872,30%
3137,17517,30%
3137,20950,30%
3137,11383,30%
15509,2123,30%
15509,3737,30%
15509,6872,30%
15509,21318,30%
15509,11399,30%
15495,2123,30%
15495,3485,30%
15495,3572,30%
15195,2123,30%
15195,3689,30%
15195,6872,30%
15195,11399,30%
15195,11399,30%
7775,2123,30%
7775,6770,30%
7775,11430,30%
3332,2123,30%
6261,2127,30%
15599,2132,30%
8628,2132,30%
8628,6960,30%
8628,6993,30%
15560,14231,30%
15560,15566,30%
15560,22197,30%
5802,2144,30%
5802,5040,30%
5802,18181,30%
5802,18269,30%
5802,12131,30%
5802,12169,30%
6572,2153,30%
6572,6770,30%
6572,6776,30%
6572,6872,30%
6572,8268,30%
6659,2153,30%
6659,3572,30%
6659,6770,30%
6659,6776,30%
6659,6872,30%
6659,6872,30%
6659,7683,30%
6659,8268,30%
6659,8269,30%
6659,8941,30%
6659,13008,30%
12638,2158,30%
12638,2197,30%
12638,5202,30%
12638,16714,30%
12638,10473,30%
12638,11002,30%
12638,11254,30%
12638,11282,30%
12638,11604,30%
8400,2158,30%
8400,16228,30%
9133,2159,30%
10627,2172,30%
10627,6630,30%
15265,15290,30%
11616,15142,30%
11616,2748,30%
11616,2757,30%
11616,14029,30%
11616,15143,30%
11616,10383,30%
11616,10388,30%
11616,10414,30%
11616,10461,30%
11616,10498,30%
11616,10501,30%
11616,11466,30%
11616,15144,30%
11616,11906,30%
11616,11941,30%
11616,12005,30%
15197,2181,30%
15197,15322,30%
15197,3591,30%
15197,3764,30%
15197,3764,30%
15197,6611,30%
15197,17699,30%
15197,21369,30%
15197,15738,30%
11990,2181,30%
11989,15986,30%
11989,22028,30%
11989,22030,30%
11989,20552,30%
11989,20552,30%
11989,21689,30%
11989,22038,30%
11989,21852,30%
11989,12012,30%
11989,15998,30%
11989,13086,30%
15273,15285,30%
15549,15670,30%
11331,2189,30%
12029,2190,30%
12029,6341,30%
12023,15753,30%
12023,11335,30%
10939,15152,30%
10939,10482,30%
10939,11613,30%
11973,16021,30%
11973,2289,30%
11973,16013,30%
11923,2199,30%
11923,8248,30%
12221,2199,30%
12048,2201,30%
12048,16971,30%
12128,2201,30%
2259,2203,30%
2259,15760,30%
2259,7720,30%
2222,2203,30%
2222,12133,30%
2280,2204,30%
2280,21578,30%
2280,12013,30%
2209,2204,30%
2209,21648,30%
2209,11001,30%
2209,12016,30%
12180,2205,30%
12180,7720,30%
12180,21550,30%
12180,10714,30%
12213,2206,30%
12213,12146,30%
12213,12200,30%
12213,15989,30%
3456,15153,30%
3456,3491,30%
3456,3581,30%
3456,5648,30%
3456,22275,30%
3456,20638,30%
3201,15153,30%
3201,3491,30%
3201,3581,30%
3201,5648,30%
3201,22178,30%
3201,15380,30%
9095,2208,30%
9095,9088,30%
9095,15991,30%
2249,2210,30%
2249,2316,30%
2188,2211,30%
11996,2212,30%
3454,15695,30%
3454,15635,30%
3454,15666,30%
3454,21354,30%
3454,21008,30%
3454,21023,30%
11361,2217,30%
11361,8688,30%
11366,2217,30%
11366,10837,30%
12014,15754,30%
12014,9194,30%
12014,12018,30%
11364,15149,30%
11364,6341,30%
11364,8243,30%
12202,15149,30%
12202,15756,30%
12202,12156,30%
3203,15315,30%
3203,3491,30%
3203,3581,30%
3203,3638,30%
3203,3726,30%
3203,20825,30%
3203,20829,30%
3203,22249,30%
12047,16039,30%
12047,12207,30%
2229,2223,30%
2229,3114,30%
2229,5856,30%
2229,7313,30%
2229,21551,30%
2299,2224,30%
10816,2225,30%
10816,20668,30%
10816,17499,30%
10816,10779,30%
10816,10787,30%
10816,10889,30%
11639,15305,30%
